Team A,Team B,Team A Winrate vs B,Team A Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B Winrate vs A,Team B Winrate,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round,Team A Win
Team Vitality,GIANTX,100.0,57.14285714285714,1.03,127.68,197.07,5.18,0.11,0.0,25.0,0.9,123.5,186.22,4.5,0.12,True
BBL Esports,Karmine Corp,100.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,0.0,33.33333333333333,1.16,128.38,194.6,5.14,0.11,True
Team Heretics,Apeks,100.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,0.0,0.0,0.88,121.8,184.96,4.83,0.11,True
FUT Esports,KOI,100.0,50.0,1.0,126.64,193.14,5.11,0.1,0.0,14.285714285714285,0.89,121.3,182.35,4.37,0.11,True
FNATIC,Natus Vincere,100.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,0.0,40.0,1.04,126.17,189.95,5.06,0.1,True
Team Liquid,Gentle Mates,0.0,65.0,1.09,132.01,199.34,5.95,0.09,100.0,33.33333333333333,0.94,120.8,183.23,4.73,0.11,False
Team Liquid,BBL Esports,100.0,65.0,1.09,132.01,199.34,5.95,0.09,0.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,True
Apeks,Natus Vincere,0.0,0.0,0.88,121.8,184.96,4.83,0.11,100.0,40.0,1.04,126.17,189.95,5.06,0.1,False
FUT Esports,Gentle Mates,100.0,50.0,1.0,126.64,193.14,5.11,0.1,0.0,33.33333333333333,0.94,120.8,183.23,4.73,0.11,True
Team Heretics,GIANTX,100.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,0.0,25.0,0.9,123.5,186.22,4.5,0.12,True
Team Vitality,FNATIC,0.0,57.14285714285714,1.03,127.68,197.07,5.18,0.11,100.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,False
KOI,Karmine Corp,0.0,14.285714285714285,0.89,121.3,182.35,4.37,0.11,100.0,33.33333333333333,1.16,128.38,194.6,5.14,0.11,False
KOI,BBL Esports,0.0,14.285714285714285,0.89,121.3,182.35,4.37,0.11,100.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,False
Natus Vincere,GIANTX,100.0,40.0,1.04,126.17,189.95,5.06,0.1,0.0,25.0,0.9,123.5,186.22,4.5,0.12,True
Team Liquid,FUT Esports,50.0,65.0,1.09,132.01,199.34,5.95,0.09,50.0,50.0,1.0,126.64,193.14,5.11,0.1,True
Team Vitality,Team Heretics,50.0,57.14285714285714,1.03,127.68,197.07,5.18,0.11,50.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,False
Apeks,FNATIC,0.0,0.0,0.88,121.8,184.96,4.83,0.11,100.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,False
Karmine Corp,Gentle Mates,100.0,33.33333333333333,1.16,128.38,194.6,5.14,0.11,0.0,33.33333333333333,0.94,120.8,183.23,4.73,0.11,True
Team Vitality,Apeks,100.0,57.14285714285714,1.03,127.68,197.07,5.18,0.11,0.0,0.0,0.88,121.8,184.96,4.83,0.11,True
Team Liquid,KOI,100.0,65.0,1.09,132.01,199.34,5.95,0.09,0.0,14.285714285714285,0.89,121.3,182.35,4.37,0.11,True
Gentle Mates,BBL Esports,0.0,33.33333333333333,0.94,120.8,183.23,4.73,0.11,100.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,False
GIANTX,FNATIC,0.0,25.0,0.9,123.5,186.22,4.5,0.12,100.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,False
Karmine Corp,FUT Esports,0.0,33.33333333333333,1.16,128.38,194.6,5.14,0.11,100.0,50.0,1.0,126.64,193.14,5.11,0.1,False
Natus Vincere,Team Heretics,0.0,40.0,1.04,126.17,189.95,5.06,0.1,100.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,False
BBL Esports,FUT Esports,100.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,0.0,50.0,1.0,126.64,193.14,5.11,0.1,True
GIANTX,Apeks,100.0,25.0,0.9,123.5,186.22,4.5,0.12,0.0,0.0,0.88,121.8,184.96,4.83,0.11,True
Gentle Mates,KOI,50.0,33.33333333333333,0.94,120.8,183.23,4.73,0.11,50.0,14.285714285714285,0.89,121.3,182.35,4.37,0.11,False
Team Vitality,Natus Vincere,0.0,57.14285714285714,1.03,127.68,197.07,5.18,0.11,100.0,40.0,1.04,126.17,189.95,5.06,0.1,False
Team Liquid,Karmine Corp,100.0,65.0,1.09,132.01,199.34,5.95,0.09,0.0,33.33333333333333,1.16,128.38,194.6,5.14,0.11,True
FNATIC,Team Heretics,50.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,50.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,False
BBL Esports,Natus Vincere,100.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,0.0,40.0,1.04,126.17,189.95,5.06,0.1,True
FNATIC,FUT Esports,50.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,50.0,50.0,1.0,126.64,193.14,5.11,0.1,True
Natus Vincere,Karmine Corp,50.0,40.0,1.04,126.17,189.95,5.06,0.1,50.0,33.33333333333333,1.16,128.38,194.6,5.14,0.11,True
FUT Esports,Team Vitality,50.0,50.0,1.0,126.64,193.14,5.11,0.1,50.0,57.14285714285714,1.03,127.68,197.07,5.18,0.11,True
Team Heretics,BBL Esports,100.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,0.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,True
Team Liquid,FNATIC,0.0,65.0,1.09,132.01,199.34,5.95,0.09,100.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,False
BBL Esports,FUT Esports,100.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,0.0,50.0,1.0,126.64,193.14,5.11,0.1,True
Team Liquid,Natus Vincere,100.0,65.0,1.09,132.01,199.34,5.95,0.09,0.0,40.0,1.04,126.17,189.95,5.06,0.1,True
Team Heretics,FNATIC,50.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,50.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,False
Team Liquid,BBL Esports,100.0,65.0,1.09,132.01,199.34,5.95,0.09,0.0,61.53846153846154,1.07,130.05,199.15,5.51,0.1,True
Team Heretics,Team Liquid,50.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,50.0,65.0,1.09,132.01,199.34,5.95,0.09,True
FNATIC,Team Heretics,50.0,76.92307692307693,1.17,136.31,206.56,6.26,0.1,50.0,69.23076923076923,1.08,130.87,198.26,5.65,0.09,True
DetonatioN FocusMe,Global Esports,50.0,22.22222222222222,0.87,120.05,182.21,3.98,0.11,50.0,25.0,0.91,123.87,186.6,4.05,0.11,False
T1,ZETA DIVISION,100.0,60.0,1.05,130.92,198.65,6.11,0.1,0.0,28.57142857142857,0.91,123.62,188.5,5.34,0.11,True
DRX,Paper Rex,50.0,68.75,1.09,128.53,196.68,6.51,0.09,50.0,50.0,1.1,133.42,202.68,5.31,0.09,True
TALON,Team Secret,100.0,50.0,0.99,123.5,187.45,5.02,0.1,0.0,14.285714285714285,0.94,127.32,191.91,4.29,0.1,True
Gen.G,BOOM Esports,50.0,64.28571428571429,1.16,131.4,200.93,5.98,0.1,50.0,55.55555555555556,1.07,130.7,200.86,5.65,0.1,False
Nongshim RedForce,Rex Regum Qeon,100.0,54.54545454545454,1.08,126.82,194.24,5.93,0.08,0.0,61.53846153846154,1.09,130.82,198.33,6.41,0.1,True
Team Secret,ZETA DIVISION,0.0,14.285714285714285,0.94,127.32,191.91,4.29,0.1,100.0,28.57142857142857,0.91,123.62,188.5,5.34,0.11,False
T1,Nongshim RedForce,100.0,60.0,1.05,130.92,198.65,6.11,0.1,0.0,54.54545454545454,1.08,126.82,194.24,5.93,0.08,True
Gen.G,Paper Rex,100.0,64.28571428571429,1.16,131.4,200.93,5.98,0.1,0.0,50.0,1.1,133.42,202.68,5.31,0.09,True
DRX,DetonatioN FocusMe,100.0,68.75,1.09,128.53,196.68,6.51,0.09,0.0,22.22222222222222,0.87,120.05,182.21,3.98,0.11,True
TALON,Rex Regum Qeon,0.0,50.0,0.99,123.5,187.45,5.02,0.1,100.0,61.53846153846154,1.09,130.82,198.33,6.41,0.1,False
BOOM Esports,Global Esports,100.0,55.55555555555556,1.07,130.7,200.86,5.65,0.1,0.0,25.0,0.91,123.87,186.6,4.05,0.11,True
Gen.G,DetonatioN FocusMe,100.0,64.28571428571429,1.16,131.4,200.93,5.98,0.1,0.0,22.22222222222222,0.87,120.05,182.21,3.98,0.11,True
Rex Regum Qeon,ZETA DIVISION,100.0,61.53846153846154,1.09,130.82,198.33,6.41,0.1,0.0,28.57142857142857,0.91,123.62,188.5,5.34,0.11,True
Paper Rex,BOOM Esports,50.0,50.0,1.1,133.42,202.68,5.31,0.09,50.0,55.55555555555556,1.07,130.7,200.86,5.65,0.1,False
TALON,Nongshim RedForce,100.0,50.0,0.99,123.5,187.45,5.02,0.1,0.0,54.54545454545454,1.08,126.82,194.24,5.93,0.08,True
DRX,Global Esports,100.0,68.75,1.09,128.53,196.68,6.51,0.09,0.0,25.0,0.91,123.87,186.6,4.05,0.11,True
T1,Team Secret,100.0,60.0,1.05,130.92,198.65,6.11,0.1,0.0,14.285714285714285,0.94,127.32,191.91,4.29,0.1,True
Nongshim RedForce,Team Secret,100.0,54.54545454545454,1.08,126.82,194.24,5.93,0.08,0.0,14.285714285714285,0.94,127.32,191.91,4.29,0.1,True
DRX,BOOM Esports,0.0,68.75,1.09,128.53,196.68,6.51,0.09,100.0,55.55555555555556,1.07,130.7,200.86,5.65,0.1,False
T1,Rex Regum Qeon,0.0,60.0,1.05,130.92,198.65,6.11,0.1,100.0,61.53846153846154,1.09,130.82,198.33,6.41,0.1,False
Gen.G,Global Esports,100.0,64.28571428571429,1.16,131.4,200.93,5.98,0.1,0.0,25.0,0.91,123.87,186.6,4.05,0.11,True
TALON,ZETA DIVISION,0.0,50.0,0.99,123.5,187.45,5.02,0.1,100.0,28.57142857142857,0.91,123.62,188.5,5.34,0.11,False
DetonatioN FocusMe,Paper Rex,50.0,22.22222222222222,0.87,120.05,182.21,3.98,0.11,50.0,50.0,1.1,133.42,202.68,5.31,0.09,False
Paper Rex,Global Esports,100.0,50.0,1.1,133.42,202.68,5.31,0.09,0.0,25.0,0.91,123.87,186.6,4.05,0.11,True
T1,TALON,50.0,60.0,1.05,130.92,198.65,6.11,0.1,50.0,50.0,0.99,123.5,187.45,5.02,0.1,False
DRX,Gen.G,100.0,68.75,1.09,128.53,196.68,6.51,0.09,0.0,64.28571428571429,1.16,131.4,200.93,5.98,0.1,True
