Match Name,Team,Outcome,Team A,Team B,Team A Pistol Winrate vs B,Team B Pistol Winrate vs A,Team A Pistol Winrate,Team B Pistol Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round
Team Vitality vs GIANTX,Team Vitality,1,Team Vitality,GIANTX,100.0,0.0,62.857142857142854,14.285714285714285,1.03,127.68,197.07,5.18,0.11,0.9,123.5,186.22,4.5,0.12
Team Vitality vs GIANTX,GIANTX,0,Team Vitality,GIANTX,100.0,0.0,62.857142857142854,14.285714285714285,1.03,127.68,197.07,5.18,0.11,0.9,123.5,186.22,4.5,0.12
Team Vitality vs GIANTX,Team Vitality,1,Team Vitality,GIANTX,100.0,0.0,62.857142857142854,14.285714285714285,1.03,127.68,197.07,5.18,0.11,0.9,123.5,186.22,4.5,0.12
Team Vitality vs GIANTX,GIANTX,0,Team Vitality,GIANTX,100.0,0.0,62.857142857142854,14.285714285714285,1.03,127.68,197.07,5.18,0.11,0.9,123.5,186.22,4.5,0.12
BBL Esports vs Karmine Corp,BBL Esports,1,BBL Esports,Karmine Corp,100.0,0.0,53.125,50.0,1.07,130.05,199.15,5.51,0.1,1.16,128.38,194.6,5.14,0.11
BBL Esports vs Karmine Corp,Karmine Corp,0,BBL Esports,Karmine Corp,100.0,0.0,53.125,50.0,1.07,130.05,199.15,5.51,0.1,1.16,128.38,194.6,5.14,0.11
BBL Esports vs Karmine Corp,BBL Esports,1,BBL Esports,Karmine Corp,100.0,0.0,53.125,50.0,1.07,130.05,199.15,5.51,0.1,1.16,128.38,194.6,5.14,0.11
BBL Esports vs Karmine Corp,Karmine Corp,0,BBL Esports,Karmine Corp,100.0,0.0,53.125,50.0,1.07,130.05,199.15,5.51,0.1,1.16,128.38,194.6,5.14,0.11
BBL Esports vs Karmine Corp,BBL Esports,1,BBL Esports,Karmine Corp,100.0,0.0,53.125,50.0,1.07,130.05,199.15,5.51,0.1,1.16,128.38,194.6,5.14,0.11
BBL Esports vs Karmine Corp,Karmine Corp,0,BBL Esports,Karmine Corp,100.0,0.0,53.125,50.0,1.07,130.05,199.15,5.51,0.1,1.16,128.38,194.6,5.14,0.11
Team Heretics vs Apeks,Team Heretics,1,Team Heretics,Apeks,66.66666666666666,33.33333333333333,56.25,35.294117647058826,1.08,130.87,198.26,5.65,0.09,0.88,121.8,184.96,4.83,0.11
Team Heretics vs Apeks,Apeks,0,Team Heretics,Apeks,66.66666666666666,33.33333333333333,56.25,35.294117647058826,1.08,130.87,198.26,5.65,0.09,0.88,121.8,184.96,4.83,0.11
Team Heretics vs Apeks,Team Heretics,1,Team Heretics,Apeks,66.66666666666666,33.33333333333333,56.25,35.294117647058826,1.08,130.87,198.26,5.65,0.09,0.88,121.8,184.96,4.83,0.11
Team Heretics vs Apeks,Apeks,0,Team Heretics,Apeks,66.66666666666666,33.33333333333333,56.25,35.294117647058826,1.08,130.87,198.26,5.65,0.09,0.88,121.8,184.96,4.83,0.11
Team Heretics vs Apeks,Team Heretics,0,Team Heretics,Apeks,66.66666666666666,33.33333333333333,56.25,35.294117647058826,1.08,130.87,198.26,5.65,0.09,0.88,121.8,184.96,4.83,0.11
Team Heretics vs Apeks,Apeks,1,Team Heretics,Apeks,66.66666666666666,33.33333333333333,56.25,35.294117647058826,1.08,130.87,198.26,5.65,0.09,0.88,121.8,184.96,4.83,0.11
FUT Esports vs KOI,FUT Esports,0,FUT Esports,KOI,50.0,50.0,55.55555555555556,52.94117647058824,1.0,126.64,193.14,5.11,0.1,0.89,121.3,182.35,4.37,0.11
FUT Esports vs KOI,KOI,1,FUT Esports,KOI,50.0,50.0,55.55555555555556,52.94117647058824,1.0,126.64,193.14,5.11,0.1,0.89,121.3,182.35,4.37,0.11
FUT Esports vs KOI,FUT Esports,1,FUT Esports,KOI,50.0,50.0,55.55555555555556,52.94117647058824,1.0,126.64,193.14,5.11,0.1,0.89,121.3,182.35,4.37,0.11
FUT Esports vs KOI,KOI,0,FUT Esports,KOI,50.0,50.0,55.55555555555556,52.94117647058824,1.0,126.64,193.14,5.11,0.1,0.89,121.3,182.35,4.37,0.11
FNATIC vs Natus Vincere,FNATIC,1,FNATIC,Natus Vincere,80.0,20.0,59.375,46.15384615384615,1.17,136.31,206.56,6.26,0.1,1.04,126.17,189.95,5.06,0.1
FNATIC vs Natus Vincere,Natus Vincere,0,FNATIC,Natus Vincere,80.0,20.0,59.375,46.15384615384615,1.17,136.31,206.56,6.26,0.1,1.04,126.17,189.95,5.06,0.1
FNATIC vs Natus Vincere,FNATIC,1,FNATIC,Natus Vincere,80.0,20.0,59.375,46.15384615384615,1.17,136.31,206.56,6.26,0.1,1.04,126.17,189.95,5.06,0.1
FNATIC vs Natus Vincere,Natus Vincere,0,FNATIC,Natus Vincere,80.0,20.0,59.375,46.15384615384615,1.17,136.31,206.56,6.26,0.1,1.04,126.17,189.95,5.06,0.1
Team Liquid vs Gentle Mates,Team Liquid,0,Team Liquid,Gentle Mates,33.33333333333333,66.66666666666666,56.36363636363636,43.47826086956522,1.09,132.01,199.34,5.95,0.09,0.94,120.8,183.23,4.73,0.11
