Team,Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round
Team Heretics,60.0,1.0354285714285714,127.08571428571429,193.925,5.178571428571429,0.09864285714285714
Paper Rex,63.1578947368421,1.1267936507936507,134.3904761904762,203.384126984127,6.012698412698413,0.1
Bilibili Gaming,58.82352941176471,1.08996875,131.16346153846155,200.15360501567397,4.121875,0.09972350230414746
Team Liquid,60.86956521739131,1.0996118721461188,133.90867579908675,203.22374429223746,6.091324200913242,0.09294520547945204
Sentinels,61.904761904761905,1.0661501210653752,129.28087167070217,197.89346246973366,5.549636803874092,0.10259079903147701
Wolves Esports,50.0,0.9994099378881988,130.7731092436975,195.85093167701862,4.133540372670807,0.10267782426778242
Gen.G,63.1578947368421,1.183784860557769,134.0398406374502,207.04780876494024,6.800796812749004,0.1054183266932271
MIBR,58.82352941176471,0.9826848249027238,125.05447470817121,189.67315175097275,6.447470817120623,0.11470817120622569
G2 Esports,79.16666666666666,1.1591853932584268,134.91011235955057,207.17696629213484,7.455056179775281,0.09685393258426965
Xi Lai Gaming,68.75,1.1386572438162545,133.69014084507043,204.5123674911661,2.8374558303886928,0.10823943661971831
Rex Regum Qeon,53.333333333333336,1.060430463576159,128.34437086092714,194.83112582781456,5.9072847682119205,0.09811258278145694
FNATIC,73.68421052631578,1.1661904761904762,136.52661064425772,206.57983193277312,6.773109243697479,0.09518207282913166
Team Vitality,57.14285714285714,1.0289495798319328,127.76050420168067,196.64705882352942,5.264705882352941,0.10836134453781515
GIANTX,25.0,0.8881879194630873,122.39597315436242,184.18120805369128,4.342281879194631,0.11255033557046983
BBL Esports,61.53846153846154,1.0707462686567164,131.335,200.42,5.537313432835821,0.10550000000000002
Karmine Corp,33.33333333333333,1.1620454545454544,128.375,194.5965909090909,5.142045454545454,0.10630681818181818
Apeks,0.0,0.9445054945054946,128.7912087912088,196.12087912087912,5.230769230769231,0.12142857142857146
FUT Esports,50.0,1.004319248826291,126.9090909090909,193.92822966507177,5.225352112676056,0.10641148325358853
KOI,14.285714285714285,0.8925531914893616,121.29787234042553,182.354609929078,4.368794326241135,0.11177304964539007
Natus Vincere,40.0,1.0350961538461538,126.17307692307692,189.9471153846154,5.0576923076923075,0.09860576923076923
Gentle Mates,33.33333333333333,0.9367878787878787,119.84242424242424,182.29090909090908,5.03030303030303,0.1135757575757576
DetonatioN FocusMe,22.22222222222222,0.8688571428571428,120.04571428571428,182.2057142857143,3.9828571428571427,0.11240000000000001
Global Esports,25.0,0.9406382978723404,125.18439716312056,188.74468085106383,3.851063829787234,0.10716312056737588
T1,60.0,1.0557142857142858,131.54187192118226,199.55665024630542,6.157635467980295,0.1026847290640394
ZETA DIVISION,28.57142857142857,0.8981818181818183,122.39090909090909,186.1090909090909,4.945454545454545,0.09836363636363636
DRX,68.75,1.116829268292683,131.28048780487805,200.58536585365854,6.995934959349594,0.0916260162601626
TALON,50.0,0.9753723404255319,122.76595744680851,186.3404255319149,5.25531914893617,0.11430851063829789
Team Secret,14.285714285714285,0.9424223602484472,127.42857142857143,192.0310559006211,4.304347826086956,0.10354037267080747
BOOM Esports,55.55555555555556,1.0731901840490798,130.69938650306747,200.85889570552146,5.6503067484662575,0.0954601226993865
Nongshim RedForce,54.54545454545454,1.0706422018348623,125.77981651376147,192.64678899082568,5.8807339449541285,0.08619266055045871
Trace Esports,53.84615384615385,1.0160714285714287,114.90721649484536,193.1409090909091,2.205357142857143,0.10820754716981133
All Gamers,0.0,0.8169999999999998,112.25,181.88888888888889,0.6,0.098
Dragon Ranger Gaming,53.84615384615385,1.033118811881188,137.8,203.45049504950495,4.292079207920792,0.12510000000000002
Nova Esports,45.45454545454545,0.9747398843930636,120.0,197.73410404624278,1.3872832369942196,0.12323076923076923
TYLOO,14.285714285714285,0.9780985915492957,135.96774193548387,193.57042253521126,2.084507042253521,0.10774193548387097
EDward Gaming,68.42105263157895,1.122469879518072,136.12222222222223,208.97289156626505,3.4186746987951806,0.09816666666666668
JDG Esports,25.0,0.9929069767441863,123.24324324324324,191.27906976744185,1.7616279069767442,0.10567567567567568
FunPlus Phoenix,37.5,1.1270229007633588,127.15384615384616,206.45801526717557,1.4274809160305344,0.12435897435897435
Titan Esports Club,40.0,0.9449305555555555,125.09836065573771,190.02083333333334,1.9097222222222223,0.08557377049180329
Cloud9,40.0,1.0083597883597886,127.73015873015873,194.34391534391534,5.1798941798941796,0.09862433862433863
NRG,33.33333333333333,1.09973544973545,133.96296296296296,202.42328042328043,4.883597883597884,0.09820105820105822
KRÜ Esports,58.333333333333336,1.1025454545454545,131.50454545454545,200.44545454545454,5.290909090909091,0.09436363636363639
LOUD,22.22222222222222,1.0007792207792208,129.87012987012986,194.25974025974025,5.746753246753247,0.10331168831168831
FURIA,12.5,0.9324358974358973,126.75641025641026,190.89743589743588,5.782051282051282,0.1391025641025641
LEVIATÁN,25.0,1.018905109489051,131.55474452554745,196.1970802919708,4.335766423357664,0.11277372262773722
2Game Esports,14.285714285714285,0.8161538461538461,119.14423076923077,179.6153846153846,3.3173076923076925,0.09384615384615386
Evil Geniuses,54.54545454545454,0.9906403940886701,130.22660098522167,197.2807881773399,5.009852216748769,0.10610837438423645
100 Thieves,45.45454545454545,1.0299069767441862,128.17209302325583,194.13023255813954,5.195348837209302,0.09967441860465119
